keyword,category,tags,number_of_posts
du lịch vũng tàu,1,vung-tau;du-lich-bien,2
taxi vũng tàu,2,dich-vu;taxi-vung-tau,1
khách sạn đà lạt,3,da-lat;khach-san,3
